question,true_chapter,true_verse,predicted_chapter,predicted_verse,is_correct,confidence_score
How does the Gita start?,1,1,1,1,True,0.8038516282
In the Mahabharata war,1,2,11,32,False,0.7267512203597983
whom did Duryodhana first talk to?,1,2,1,2,True,0.8653315779999999
What did Duryodhana say to his teacher,1,3,1,3,True,0.8463029146000001
Drona?,1,3,1,11,False,0.5393280542621085
Which warriors from the Pandava army did Duryodhana first talk about?,1,4,1,4,True,0.9413879752
Who was the king from Kashi who fought in the Mahabharata war?,1,5,1,5,True,0.9046783684
Which other warriors from the Pandava army did Duryodhana talk about?,1,6,1,4,False,0.9377688171999999
Why was Duryodhana taking names of all the warriors in the Mahabharata war?,1,7,1,7,True,0.9554138542
Who were the warriors on the Kaurava side that Duryodhana mentioned about?,1,8,1,8,True,0.9156393406000001
What did Duryodhana say about the warriors on his side in the Mahabharata war?,1,9,1,9,True,0.9604096654
What did Duryodhana say while comparing his army with the Pandava army?,1,10,1,10,True,0.9136031506
What did Duryodhana ask Drona to primarily do during the war?,1,11,1,11,True,0.8662942768
What did Bhishma do to cheer up Duryodhana during the Mahabharata war?,1,12,1,12,True,0.9339269278
What happened after Bhishma blew his conch?,1,13,1,13,True,0.8708181262
Who was the first person from the Pandava side to blow the conch?,1,14,1,14,True,0.8825995324
What were the names of the conches of Krishna,1,15,1,15,True,0.8149237156
Arjuna and Bhima?,1,15,11,33,False,0.45725526581714016
What were the names of the conches of Yudhisthira,1,16,1,16,True,0.7987160566
Nakula and Sahadeva?,1,16,1,16,True,0.7190261602000001
Who else fought from the Pandava side?,1,17,1,17,True,0.8669308546
Who else from the Pandava side blow their conch?,1,18,1,18,True,0.8702600836000001
What was the reaction of Kauravas after the Pandava side blew their conches?,1,19,1,19,True,0.9072222472
What was depicted on Arjuna's chariot flag?,1,20,1,20,True,0.9020662186
What did Arjuna first ask Krishna to do in the Mahabharata war?,1,21,1,21,True,0.9225529672
Why did Arjuna want Krishna to draw his chariot between the two armies?,1,22,1,22,True,0.9578722954
What did Arjuna want to observe at the beginning of the war?,1,23,1,23,True,0.92775352
Where did Krishna place the chariot?,1,24,1,24,True,0.9075249436
In front of whom did Krishna place the chariot?,1,25,1,24,False,0.7614106435432397
Which relatives did Arjuna see on the other side in the war?,1,26,1,26,True,0.9411785842
Whom did Arjuna see when Krishna placed his chariot in the middle of the two armies?,1,27,1,27,True,0.936386299
Seeing whom did Arjuna become emotional during the war?,1,28,1,28,True,0.9263121724
What happened to Arjuna's limbs when he saw so many relatives in the enemy's army?,1,29,1,29,True,0.9627393244
What happened to Arjuna's bow when he saw so many relatives in the enemy's army?,1,30,1,30,True,0.9375952
What was Arjuna's reaction when he saw so many relatives in the enemy's army?,1,31,1,31,True,0.9369590758
Where in the Gita does Arjuna say that he has no desire for empire or victory?,1,32,1,32,True,0.9263088466
Why did Arjuna say that he has no desire for victory or the empire?,1,33,1,33,True,0.9475356443663618
What did Arjuna say about the way teachers and relatives are to be treated?,1,34,1,34,True,0.9715862872000001
Where in the Gita does Arjuna say that he will not kill his relatives even if they kill him?,1,35,1,35,True,0.9561338662
What did Arjuna say will happen if he killed his own relatives?,1,36,1,40,False,0.6701476479190223
What according to Arjuna is the effect of killing our own kin?,1,37,1,37,True,0.9069260596
What did Arjuna say about the nature of Kauravas?,1,38,1,38,True,0.9219953536
Why did Arjuna want to turn away from the battle?,1,39,1,39,True,0.9083966254
What did Arjuna say would happen to his family if he kills his own clan?,1,40,1,40,True,0.9301936510000001
What did Arjuna say would happen to the women if he kills his own clan?,1,41,1,41,True,0.923509228
What leads to hell according to Arjuna?,1,42,1,42,True,0.9274856566
What did Arjuna say would happen if there is inter mixing in the clans?,1,43,1,43,True,0.9435363999999999
What did Arjuna say would happen to those whose clans are destroyed?,1,44,1,44,True,0.9022905586000001
Why did Arjuna say that he was about to commit a sin?,1,45,1,45,True,0.964758742
Why did Arjuna want to be killed by the enemy Kauravas?,1,46,1,46,True,0.9272947551999999
What did Arjuna do after arguing that he will prefer being killed instead of killing his own relatives?,1,47,1,47,True,0.9068788
What did Sanjaya say about the state of Arjuna?,2,1,2,1,True,0.8793679354
What were Krishna's first words on seeing the weak state of Arjuna after he refused to fight the war?,2,2,2,2,True,0.9636179806
What did Krishna say to encourage Arjuna to fight the war? How can I become strong?,2,3,2,3,True,0.939798355
Why was Arjuna reluctant to shoot arrows at Bhishma and Drona?,2,4,2,4,True,0.9442157746
Why was Arjuna reluctant to shoot arrows at his teachers?,2,5,2,5,True,0.9368661286
Why was Arjuna reluctant to shoot arrows at Kauravas (sons of Dhrtarastra)?,2,6,2,6,True,0.970145011
When did Arjuna first admis that he is confused?,2,7,2,7,True,0.9161135194
Why was Arjuna so grief stricken?,2,8,2,8,True,0.9405994414000001
Where in the Gita did Arjuna say that he will not fight?,2,9,2,9,True,0.9245458486
What was Krishna's first reaction on seeing the grief stricken state of Arjuna?,2,10,2,10,True,0.9519073486
Is it suitable for wise people to grieve?,2,11,2,11,True,0.9041510104
Do human beings cease to exist when they die?,2,12,2,12,True,0.9088484170000001
What happens to the soul or Atman after death of the body? Does the soul transmigrate after death of the body? What is transmigration of the soul?,2,13,2,13,True,0.9739145158
How do various feelings of pleasure and pain arise?,2,14,2,14,True,0.8805694
What is the sign of a steadfast human? Where does Krishna talk about impermanence of pleasure and pain?,2,15,2,15,True,0.9545480728
What is the real and unreal?,2,16,2,16,True,0.8976237298
Is there anything that immutable and indestructible in this universe?,2,17,2,17,True,0.9405714394
Does the Jiva also die when the body dies?,2,18,2,18,True,0.9010603906
What is the sign of ignorance in a human?,2,19,7,15,False,0.8391367972024021
What are the properties of the soul or atman?,2,20,2,20,True,0.911471617
Can a Jiva be killed by anyone? Can the soul be killed by anyone?,2,21,2,21,True,0.9521948458
What happens to the soul after the body dies? What happens to the soul after death? What happens to the self after the body dies? What happens to the self after death?,2,22,2,22,True,0.9209713222
Can the soul or self or atman be burnt or destroyed?,2,23,2,23,True,0.9459785937999999
Can the soul be dried up?,2,24,2,24,True,0.9110484004
Is grieving suitable for those who know the Self or soul or atman? What are the characteristics of the Self? What is the soul? What is the Self? What are the characteristics of the soul? Who am I? What is atma? What is the atma?,2,25,2,25,True,0.9658700344
Is grieving suitable for even those who do not believe in an eternal soul or self or atman?,2,26,2,26,True,0.9477632284
Why is grieving unsuitable even for those who do not believe in an eternal soul or self? Can you explain the cycle of birth and death?,2,27,2,27,True,0.9690811396
Do beings have a definite beginning and end?,2,28,2,28,True,0.8810478208
What is so wonderful about the soul or the self?,2,29,2,29,True,0.9072988869999999
Are all the selves eternal and indestructible?,2,30,2,30,True,0.8226713302
What is the greatest duty of a Kshatriya warrior?,2,31,2,31,True,0.8771075488
What leads a Kshatriya warrior to heaven?,2,32,2,32,True,0.8949169876
What happens to Kshatriya warriors who turn away from their duty?,2,33,2,33,True,0.886540699
What do people treat Kshatriya warriors who turn away from their duty?,2,34,2,36,False,0.8817824796162017
What do other warriors treat Kshatriya warriors who turn away from their duty?,2,35,2,35,True,0.931670296
What do the enemies treat Kshatriya warriors who turn away from their duty?,2,36,2,36,True,0.9370106458
What would have happened if Arjuna lost the Mahabharata war?,2,37,2,37,True,0.9495238306
How can Arjuna make sure that he does not incur any sin by fighting the war?,2,38,2,38,True,0.9584394214
Where does Krishna start telling about Karma Yoga?,2,39,2,39,True,0.9215630176
Does the practice of Karma Yoga protect from evil? How to get rid of fear?,2,40,2,40,True,0.9826419232
How is the nature of the mind and intellect of a Karma Yogi?,2,41,2,41,True,0.9045759082
What happens to people who are engrossed in the rituals of the Vedas?,2,42,2,42,True,0.9022326946
What is wrong with people who are engrossed in the rituals of the Vedas?,2,43,2,43,True,0.8997613022291329
What is the greatest limitation of people whose minds cling to pleasure and power?,2,44,2,44,True,0.916290724
What are the characteristics of a person who is free from the three Gunas?,2,45,2,45,True,0.8925522088
Are the Vedas useful for a person with knowledge of the Self?,2,46,2,46,True,0.90085783
What is the crux of Karma Yoga? What is Karma? What is Karma Yoga? How should we work? What is the secret of work? What is the secret of Karma?,2,47,2,47,True,0.9241328596
What is evenness of mind or equanimity? What is the importance of equanimity?,2,48,2,48,True,0.8989251730000001
How should action or karma be performed?,2,49,2,49,True,0.8224669456
What is the definition of Yoga? What is Yoga?,2,50,2,50,True,0.8856049654
What happens to those who possess evenness of mind and are equanimous?,2,51,2,51,True,0.8929331182
What happens to those who have gone beyond the tangle of delusion?,2,52,2,52,True,0.8808829546
What happens to those whose whose intellect has been enlightened?,2,53,2,53,True,0.8670267346
What was Arjuna's first question after hearing about Karma Yoga and the state of equanimity?,2,54,2,54,True,0.8969228866
Who is said to possess firm wisdom? Who is considered to be a sthitaprajna? Who is considered to be equanimous?,2,55,2,55,True,0.9350525974
What is the state of a person whose mind is not perturbed by pain?,2,56,2,56,True,0.883120489
What is the state of a person who is unbiased?,2,57,2,57,True,0.9214466812
When is a person's wisdom said to be firmly established?,2,58,2,58,True,0.8761016488
What happens to the senses when the Self becomes known?,2,59,2,59,True,0.8912425396
How powerful are the senses?,2,60,2,60,True,0.8640445114
Why do we need to control the senses?,2,61,2,61,True,0.8784924627999999
What happens when we think about sense objects? What is wrong with attachment? Why is detachment necessary for spiritual progress? What is the effect of work with attachment?,2,62,2,62,True,0.9784003498
What happens when we get angry? Why do we make wrong decisions when we are angry?,2,63,2,63,True,0.9119820592
What happens to those who have control over their sense objects? How can we get over anger? How can we become serene?,2,64,2,64,True,0.942058921
How is the state of a serene person?,2,65,2,65,True,0.8751722098
Why is the importance of contemplation of the Self or soul?,2,66,2,66,True,0.8719966887999999
What happens to the mind when it follows the senses?,2,67,2,67,True,0.877267
What happens to the one whose senses are restrained?,2,68,2,68,True,0.7953729154
What is the difference between discerning sages and others?,2,69,2,69,True,0.8898657442
Where is the analogy with an undisturbed sea mentioned in the Gita?,2,70,2,70,True,0.885091984
How can we attain peace?,2,71,2,71,True,0.888104749
What is the Brahmic state?,2,72,2,72,True,0.8057346106000001
What was Arjuna's confusion about knowledge and action?,3,1,3,1,True,0.9197062852
What was Arjuna's confusion on hearing about the Yoga of knowledge and the Yoga of action?,3,2,3,2,True,0.956990707
Is there any mention of Sankhya Yoga in the Gita?,3,3,3,3,True,0.9524603488
Does renunciation of work lead to liberation or salvation?,3,4,3,4,True,0.9058847548
Can any person avoid doing action or work even for a moment?,3,5,3,5,True,0.9252094624
Who is a deluded person?,3,6,3,6,True,0.8759933950000001
Who is an excellent person?,3,7,3,7,True,0.7419073702000001
Is action superior to inaction? Why is it important to perform one's duties?,3,8,3,8,True,0.9397160290000001
When does work or action lead to bondage?,3,9,3,9,True,0.8447599294
Why should we propagate our species?,3,10,3,10,True,0.8833750486
What is the duty of ordinary human beings?,3,11,3,11,True,0.8837870002
Who is a thief?,3,12,3,12,True,0.8227127787999999
How can pious people remain free from sin?,3,13,3,13,True,0.8726049064
What is the importance of food?,3,14,3,14,True,0.8419220091999999
Where does activity or action spring from?,3,15,3,15,True,0.7874314666
Why is it important to follow the laws of nature?,3,16,3,16,True,0.8632232902
Do people who are satisfied with the Self also need to perform all the worldly duties?,3,17,3,17,True,0.928548598
Is there any motivation left for people who are satisfied with the Self?,3,18,3,18,True,0.9164090278
Why is detachment important? What is the result of detachment?,3,19,3,19,True,0.9280585408
How did King Janaka reach perfection or salvation or liberation?,3,20,3,20,True,0.9290060044
What impact do great men have on others?,3,21,3,21,True,0.9269354104
Is God also bound by any duties towards the world?,3,22,3,22,True,0.9320672632
Why does God continue to perform action?,3,23,3,23,True,0.8773767712
What will happen if God ceases to perform action?,3,24,3,24,True,0.8920461652
What should be the motivation for the wise men to work?,3,25,3,25,True,0.8771280406
How should wise men treat other human beings?,3,26,3,26,True,0.928960264
Is action performed by the individual or by nature itself?,3,27,3,27,True,0.8697214959999999
How does the knowledge of the Gunas lead to detachment?,3,28,3,28,True,0.8892986176
How should the ignorant be treated?,3,29,3,29,True,0.8502959014
Where does Krishna first talk about the concept of surrender?,3,30,3,30,True,0.9604246852
Where does Krishna first talk about the concept of faith?,3,31,3,31,True,0.9319147348
What happens to those who do not follow the principle of Karma Yoga?,3,32,3,32,True,0.9029801728
Should innate desires be repressed?,3,33,3,33,True,0.9204819082
How should one treat his or her own senses?,3,34,3,34,True,0.9080744026
Why is important to perform one's own duty? How can we become successful? How can we achieve success?,3,35,3,35,True,0.9399877192
What did Arjuna ask about sin?,3,36,3,36,True,0.927289927
What is the primary cause of sin?,3,37,3,37,True,0.9028118728
What is desire? What is the cause of ignorance? Is there any relation between desires and ignorance?,3,38,3,38,True,0.9118992328
Can desires be gratified? Why are desires so hard to satisfy?,3,39,3,39,True,0.9025474
How does desire overpowers the Self?,3,40,3,40,True,0.9126666663999999
Why is it important to control the desires?,3,41,3,41,True,0.8498375296
Which is greater,3,42,3,42,True,0.6432519921421744
the Self or the intellect?,3,42,3,42,True,0.8468297722
How can one control the desires?,3,43,3,43,True,0.8001869423985384
Whom did Krishna first teach Yoga?,4,1,4,1,True,0.9090015532
How did the knowledge of Yoga get lost?,4,2,4,2,True,0.881353843
Why was Krishna teaching Yoga to Arjuna?,4,3,4,3,True,0.9413911936
What was Arjuna's reaction on hearing that Krishna taught Yoga to Vivasvan and other ancestors?,4,4,4,4,True,0.9526028992000001
Does God also have multiple births?,4,5,4,5,True,0.9016510486
What is the concept of Avatar or reincarnation? Can God take birth in a human form? Is it possible for God to be born on this earth?,4,6,4,6,True,0.971140969
When and why does God incarnate? Will Sanatana Dharma be eradicated some day? Can Hinduism be eradicated?,4,7,4,7,True,0.9665162326
Why does God incarnate? Does God do anything to protect good people? Can good people expect any help from God?,4,8,4,8,True,0.9459977272
What happens to those who know about God's incarnations or Avatars?,4,9,4,9,True,0.9126123784
Have people actually attained liberation or salvation?,4,10,4,10,True,0.9194025514
Is there a single path to attain God?,4,11,4,11,True,0.8873293756
What happens to those who perform rituals?,4,12,4,12,True,0.8764576672
What is the concept of varna or caste?,4,13,4,13,True,0.9178326724
